Class,Family,Number,Withdrawn?,Title,Impact,Priority,Description,Supplemental-Guidance,Enhancement 1 Impact,Enhancement 1 Description,Enhancement 1 Supplemental Guidance,Enhancement 2 Impact,Enhancement 2 Description,Enhancement 2 Supplemental Guidance,Enhancement 3 Impact,Enhancement 3 Description,Enhancement 3 Supplemental Guidance,Enhancement 4 Impact,Enhancement 4 Description,Enhancement 4 Supplemental Guidance,Enhancement 5 Impact,Enhancement 5 Description,Enhancement 5 Supplemental Guidance,Enhancement 6 Impact,Enhancement 6 Description,Enhancement 6 Supplemental Guidance,Enhancement 7 Impact,Enhancement 7 Description,Enhancement 7 Supplemental Guidance,Enhancement 8 Impact,Enhancement 8 Description,Enhancement 8 Supplemental Guidance,Enhancement 9 Impact,Enhancement 9 Description,Enhancement 9 Supplemental Guidance,Enhancement 10 Impact,Enhancement 10 Description,Enhancement 10 Supplemental Guidance,Enhancement 11 Impact,Enhancement 11 Description,Enhancement 11 Supplemental Guidance,Enhancement 12 Impact,Enhancement 12 Description,Enhancement 12 Supplemental Guidance,Enhancement 13 Impact,Enhancement 13 Description,Enhancement 13 Supplemental Guidance,Enhancement 14 Impact,Enhancement 14 Description,Enhancement 14 Supplemental Guidance,Enhancement 15 Impact,Enhancement 15 Description,Enhancement 15 Supplemental Guidance,Enhancement 16 Impact,Enhancement 16 Description,Enhancement 16 Supplemental Guidance,Enhancement 17 Impact,Enhancement 17 Description,Enhancement 17 Supplemental Guidance,Enhancement 18 Impact,Enhancement 18 Description,Enhancement 18 Supplemental Guidance
Technical,System and Communications Protection,SC-11,,Trusted Path,NONE,P0,"The information system establishes a trusted communications path between the user and the following security functions of the system: [ Assignment: organization-defined security functions to include at a minimum, information system authentication and reauthentication ]. ","A trusted path is employed for high-confidence connections between the security functions of the information system and the user (e.g., for login). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-12,,Cryptographic Key Establishment and Management,LOW_MODERATE_HIGH,P1,The organization establishes and manages cryptographic keys for required cryptography employed within the information system. ,"Cryptographic key management and establishment can be performed using manual procedures or automated mechanisms with supporting manual procedures. In addition to being required for the effective operation of a cryptographic mechanism, effective cryptographic key management provides protections to maintain the availability of the information in the event of the loss of cryptographic keys by users. ",HIGH,The organization maintains availability of information in the event of the loss of cryptographic keys by users. ,,NONE,"The organization produces, controls, and distributes symmetric cryptographic keys using [ Selection: NIST-approved, NSA-approved ] key management technology and processes. ",,NONE,"The organization produces, controls, and distributes symmetric and asymmetric cryptographic keys using NSA-approved key management technology and processes. ",,NONE,"The organization produces, controls, and distributes asymmetric cryptographic keys using approved PKI Class 3 certificates or prepositioned keying material. ",,NONE,"The organization produces, controls, and distributes asymmetric cryptographic keys using approved PKI Class 3 or Class 4 certificates and hardware security tokens that protect the user's private key. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-13,,Use of Cryptography,LOW_MODERATE_HIGH,P1,"The information system implements required cryptographic protections using cryptographic modules that comply with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance. ",None. ,NONE,"The organization employs, at a minimum, FIPS-validated cryptography to protect unclassified information. ",,NONE,The organization employs NSA-approved cryptography to protect classified information. ,,NONE,"The organization employs, at a minimum, FIPS-validated cryptography to protect information when such information must be separated from individuals who have the necessary clearances yet lack the necessary access approvals. ",,NONE,The organization employs [ Selection: FIPS-validated; NSA-approved ] cryptography to implement digital signatures. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-14,,Public Access Protections,LOW_MODERATE_HIGH,P1,The information system protects the integrity and availability of publicly available information and applications. ,The purpose of this control is to ensure that organizations explicitly address the protection needs for public information and applications with such protection likely being implemented as part of other security controls. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-15,,Collaborative Computing Devices,LOW_MODERATE_HIGH,P1,The information system: Prohibits remote activation of collaborative computing devices with the following exceptions: [ Assignment: organization-defined exceptions where remote activation is to be allowed ]; and Provides an explicit indication of use to users physically present at the devices. ,"Collaborative computing devices include, for example, networked white boards, cameras, and microphones. Explicit indication of use includes, for example, signals to users when collaborative computing devices are activated ",NONE,The information system provides physical disconnect of collaborative computing devices in a manner that supports ease of use. ,,NONE,The information system or supporting environment blocks both inbound and outbound traffic between instant messaging clients that are independently configured by end users and external service providers. ,Blocking restrictions do not include instant messaging services that are configured by an organization to perform an authorized function. ,NONE,The organization disables or removes collaborative computing devices from information systems in [ Assignment: organization-defined secure work areas ]. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-16,,Transmission of Security Attributes,NONE,P0,The information system associates security attributes with information exchanged between information systems. ,Security attributes may be explicitly or implicitly associated with the information contained within the information system. Related control: AC-16. ,NONE,The information system validates the integrity of security attributes exchanged between systems. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-17,,Public Key Infrastructure Certificates,MODERATE_HIGH,P1,The organization issues public key certificates under an [ Assignment: organization-defined certificate policy ] or obtains public key certificates under an appropriate certificate policy from an approved service provider. ,"For user certificates, each organization attains certificates from an approved, shared service provider, as required by OMB policy. For federal agencies operating a legacy public key infrastructure cross-certified with the Federal Bridge Certification Authority at medium assurance or higher, this Certification Authority will suffice. This control focuses on certificates with a visibility external to the information system and does not include certificates related to internal system operations, for example, application-specific time services. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-18,,Mobile Code,MODERATE_HIGH,P1,"The organization: Defines acceptable and unacceptable mobile code and mobile code technologies; Establishes usage restrictions and implementation guidance for acceptable mobile code and mobile code technologies; and Authorizes, monitors, and controls the use of mobile code within the information system. ","Decisions regarding the employment of mobile code within organizational information systems are based on the potential for the code to cause damage to the system if used maliciously. Mobile code technologies include, for example, Java, JavaScript, ActiveX, PDF, Postscript, Shockwave movies, Flash animations, and VBScript. Usage restrictions and implementation guidance apply to both the selection and use of mobile code installed on organizational servers and mobile code downloaded and executed on individual workstations. Policy and procedures related to mobile code, address preventing the development, acquisition, or introduction of unacceptable mobile code within the information system. ",NONE,"The information system implements detection and inspection mechanisms to identify unauthorized mobile code and takes corrective actions, when necessary. ","Corrective actions when unauthorized mobile code is detected include, for example, blocking, quarantine, or alerting administrator. Disallowed transfers include, for example, sending word processing files with embedded macros. ",NONE,"The organization ensures the acquisition, development, and/or use of mobile code to be deployed in information systems meets [ Assignment: organization-defined mobile code requirements ]. ",,NONE,The information system prevents the download and execution of prohibited mobile code. ,,NONE,The information system prevents the automatic execution of mobile code in [ Assignment: organization-defined software applications ] and requires [ Assignment: organization-defined actions ] prior to executing the code. ,"Actions required before executing mobile code, include, for example, prompting users prior to opening electronic mail attachments. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-19,,Voice Over Internet Protocol,MODERATE_HIGH,P1,"The organization: Establishes usage restrictions and implementation guidance for Voice over Internet Protocol (VoIP) technologies based on the potential to cause damage to the information system if used maliciously; and Authorizes, monitors, and controls the use of VoIP within the information system. ",None. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-20,,Secure Name / Address Resolution Service (Authoritative Source),LOW_MODERATE_HIGH,P1,The information system provides additional data origin and integrity artifacts along with the authoritative data the system returns in response to name/address resolution queries. ,"This control enables remote clients to obtain origin authentication and integrity verification assurances for the host/service name to network address resolution information obtained through the service. A domain name system (DNS) server is an example of an information system that provides name/address resolution service. Digital signatures and cryptographic keys are examples of additional artifacts. DNS resource records are examples of authoritative data. Information systems that use technologies other than the DNS to map between host/service names and network addresses provide other means to assure the authenticity and integrity of response data. The DNS security controls are consistent with, and referenced from, OMB Memorandum 08-23. ",LOW_MODERATE_HIGH,"The information system, when operating as part of a distributed, hierarchical namespace, provides the means to indicate the security status of child subspaces and (if the child supports secure resolution services) enable verification of a chain of trust among parent and child domains. ",An example means to indicate the security status of child subspaces is through the use of delegation signer (DS) resource records in the DNS. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-21,,Secure Name / Address Resolution Service (Recursive Or Caching Resolver),HIGH,P1,The information system performs data origin authentication and data integrity verification on the name/address resolution responses the system receives from authoritative sources when requested by client systems. ,A recursive resolving or caching domain name system (DNS) server is an example of an information system that provides name/address resolution service for local clients. Authoritative DNS servers are examples of authoritative sources. Information systems that use technologies other than the DNS to map between host/service names and network addresses provide other means to enable clients to verify the authenticity and integrity of response data. ,NONE,The information system performs data origin authentication and data integrity verification on all resolution responses whether or not local clients explicitly request this service. ,"Local clients include, for example, DNS stub resolvers. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-22,,Architecture and Provisioning for Name / Address Resolution Service,MODERATE_HIGH,P1,The information systems that collectively provide name/address resolution service for an organization are fault-tolerant and implement internal/external role separation. ,"A domain name system (DNS) server is an example of an information system that provides name/address resolution service. To eliminate single points of failure and to enhance redundancy, there are typically at least two authoritative domain name system (DNS) servers, one configured as primary and the other as secondary. Additionally, the two servers are commonly located in two different network subnets and geographically separated (i.e., not located in the same physical facility). With regard to role separation, DNS servers with an internal role, only process name/address resolution requests from within the organization (i.e., internal clients). DNS servers with an external role only process name/address resolution information requests from clients external to the organization (i.e., on the external networks including the Internet). The set of clients that can access an authoritative DNS server in a particular role is specified by the organization (e.g., by address ranges, explicit lists). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-23,,Session Authenticity,MODERATE_HIGH,P1,The information system provides mechanisms to protect the authenticity of communications sessions. ,"This control focuses on communications protection at the session, versus packet, level. The intent of this control is to establish grounds for confidence at each end of a communications session in the ongoing identity of the other party and in the validity of the information being transmitted. For example, this control addresses man-in-the-middle attacks including session hijacking or insertion of false information into a session. This control is only implemented where deemed necessary by the organization (e.g., sessions in service-oriented architectures providing web-based services). ",NONE,The information system invalidates session identifiers upon user logout or other session termination. ,,NONE,The information system provides a readily observable logout capability whenever authentication is used to gain access to web pages. ,,NONE,The information system generates a unique session identifier for each session and recognizes only session identifiers that are system-generated. ,,NONE,The information system generates unique session identifiers with [ Assignment: organization-defined randomness requirements ]. ,Employing the concept of randomness in the generation of unique session identifiers helps to protect against brute-force attacks to determine future session identifiers. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-24,,Fail In Known State,HIGH,P1,The information system fails to a [ Assignment: organization-defined known-state ] for [ Assignment: organization-defined types of failures ] preserving [ Assignment: organization-defined system state information ] in failure. ,"Failure in a known state can address safety or security in accordance with the mission/business needs of the organization. Failure in a known secure state helps prevent a loss of confidentiality, integrity, or availability in the event of a failure of the information system or a component of the system. Failure in a known safe state helps prevent systems from failing to a state that may cause injury to individuals or destruction to property. Preserving information system state information facilitates system restart and return to the operational mode of the organization with less disruption of mission/business processes. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-25,,Thin Nodes,NONE,P0,The information system employs processing components that have minimal functionality and information storage. ,"The deployment of information system components with minimal functionality (e.g., diskless nodes and thin client technologies) reduces the need to secure every user endpoint, and may reduce the exposure of information, information systems, and services to a successful attack. Related control: SC-30. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-26,,Honeypots,NONE,P0,"The information system includes components specifically designed to be the target of malicious attacks for the purpose of detecting, deflecting, and analyzing such attacks. ",None. ,NONE,The information system includes components that proactively seek to identify web-based malicious code. ,Devices that actively seek out web-based malicious code by posing as clients are referred to as client honeypots or honey clients. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-27,,Operating System-independent Applications,NONE,P0,The information system includes: [ Assignment: organization-defined operating system-independent applications ]. ,"Operating system-independent applications are applications that can run on multiple operating systems. Such applications promote portability and reconstitution on different platform architectures, increasing the availability for critical functionality within an organization while information systems with a given operating system are under attack. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-28,,Protection of Information At Rest,MODERATE_HIGH,P1,The information system protects the confidentiality and integrity of information at rest. ,"This control is intended to address the confidentiality and integrity of information at rest in nonmobile devices and covers user information and system information. Information at rest refers to the state of information when it is located on a secondary storage device (e.g., disk drive, tape drive) within an organizational information system. Configurations and/or rule sets for firewalls, gateways, intrusion detection/prevention systems, and filtering routers and authenticator content are examples of system information likely requiring protection. Organizations may choose to employ different mechanisms to achieve confidentiality and integrity protections, as appropriate. ",NONE,The organization employs cryptographic mechanisms to prevent unauthorized disclosure and modification of information at rest unless otherwise protected by alternative physical measures. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-29,,Heterogeneity,NONE,P0,The organization employs diverse information technologies in the implementation of the information system. ,"Increasing the diversity of information technologies within the information system reduces the impact of the exploitation of a specific technology. Organizations that select this control should consider that an increase in diversity may add complexity and management overhead, both of which have the potential to lead to mistakes and misconfigurations which could increase overall risk. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-30,,Virtualization Techniques,NONE,P0,"The organization employs virtualization techniques to present information system components as other types of components, or components with differing configurations. ","Virtualization techniques provide organizations with the ability to disguise information systems, potentially reducing the likelihood of successful attacks without the cost of having multiple platforms. ",NONE,The organization employs virtualization techniques to support the deployment of a diversity of operating systems and applications that are changed [ Assignment: organization-defined frequency ]. ,"While frequent changes to operating systems and applications pose configuration management challenges, the changes result in an increased work factor for adversaries in order to carry out successful attacks. Changing the apparent operating system or application, as opposed to the actual operating system or application, results in virtual changes that still impede attacker success while helping to reduce the configuration management effort. ",NONE,The organization employs randomness in the implementation of the virtualization techniques. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-31,,Covert Channel Analysis,NONE,P0,The organization requires that information system developers/integrators perform a covert channel analysis to identify those aspects of system communication that are potential avenues for covert storage and timing channels. ,"Information system developers/integrators are in the best position to identify potential avenues within the system that might lead to covert channels. Covert channel analysis is a meaningful activity when there is the potential for unauthorized information flows across security domains, for example, in the case of information systems containing export-controlled information and having connections to external networks (i.e., networks not controlled by the organization). Covert channel analysis is also meaningful in the case of multilevel secure (MLS) systems, multiple security level (MSL) systems, and cross domain systems. ",NONE,The organization tests a subset of the vendor-identified covert channel avenues to determine if they are exploitable. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-32,,Information System Partitioning,MODERATE_HIGH,P1,The organization partitions the information system into components residing in separate physical domains (or environments) as deemed necessary. ,"Information system partitioning is a part of a defense-in-depth protection strategy. An organizational assessment of risk guides the partitioning of information system components into separate physical domains (or environments). The security categorization also guides the selection of appropriate candidates for domain partitioning. Managed interfaces restrict or prohibit network access and information flow among partitioned information system components. Related controls: AC-4, SC-7. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-33,,Transmission Preparation Integrity,NONE,P0,"The information system protects the integrity of information during the processes of data aggregation, packaging, and transformation in preparation for transmission. ","Information can be subjected to unauthorized changes (e.g., malicious and/or unintentional modification) at information aggregation or protocol transformation points. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,System and Communications Protection,SC-34,,Non-modifiable Executable Programs,NONE,P0,"The information system at [ Assignment: organization-defined information system components ]: Loads and executes the operating environment from hardware-enforced, read-only media; and Loads and executes [ Assignment: organization-defined applications ] from hardware-enforced, read-only media. ","In this control, the term operating environment is defined as the code upon which applications are hosted, for example, a monitor, executive, operating system, or application running directly on the hardware platform. Hardware-enforced, read-only media include, for example, CD-R/DVD-R disk drives. Use of non-modifiable storage ensures the integrity of the software program from the point of creation of the read-only image. ",NONE,The organization employs [ Assignment: organization-defined information system components ] with no writeable storage that is persistent across component restart or power on/off. ,"This control enhancement: (i) eliminates the possibility of malicious code insertion via persistent, writeable storage within the designated information system component; and (ii) requires no such removable storage be employed, a requirement that may be applied directly or as a specific restriction imposed through AC-19. ",NONE,The organization protects the integrity of the information on read-only media. ,"This control enhancement covers protecting the integrity of information to be placed onto read-only media and controlling the media after information has been recorded onto the media. Protection measures may include, as deemed necessary by the organization, a combination of prevention and detection/response. This enhancement may be satisfied by requirements imposed by other controls such as AC-3, AC-5, CM-3, CM-5, CM-9, MP-2, MP-4, MP-5, SA-12, SC-28, SI-3, and SI-7. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,System and Information Integrity,SI-1,,System and Information Integrity Policy and Procedures,LOW_MODERATE_HIGH,P1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented system and information integrity policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the system and information integrity policy and associated system and information integrity controls. ","This control is intended to produce the policy and procedures that are required for the effective implementation of selected security controls and control enhancements in the system and information integrity family. The policy and procedures are consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance. Existing organizational policies and procedures may make the need for additional specific policies and procedures unnecessary. The system and information integrity policy can be included as part of the general information security policy for the organization. System and information integrity procedures can be developed for the security program in general and for a particular information system, when required. The organizational risk management strategy is a key factor in the development of the system and information integrity policy. Related control: PM-9. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,System and Information Integrity,SI-2,,Flaw Remediation,LOW_MODERATE_HIGH,P1,"The organization: Identifies, reports, and corrects information system flaws; Tests software updates related to flaw remediation for effectiveness and potential side effects on organizational information systems before installation; and Incorporates flaw remediation into the organizational configuration management process. ","The organization identifies information systems containing software affected by recently announced software flaws (and potential vulnerabilities resulting from those flaws) and reports this information to designated organizational officials with information security responsibilities (e.g., senior information security officers, information system security managers, information systems security officers). The organization (including any contractor to the organization) promptly installs security-relevant software updates (e.g., patches, service packs, and hot fixes). Flaws discovered during security assessments, continuous monitoring, incident response activities, or information system error handling, are also addressed expeditiously. Organizations are encouraged to use resources such as the Common Weakness Enumeration (CWE) or Common Vulnerabilities and Exposures (CVE) databases in remediating flaws discovered in organizational information systems. By requiring that flaw remediation be incorporated into the organizational configuration management process, it is the intent of this control that required/anticipated remediation actions are tracked and verified. An example of expected flaw remediation that would be so verified is whether the procedures contained in US-CERT guidance and Information Assurance Vulnerability Alerts have been accomplished. Related controls: CA-2, CA-7, CM-3, MA-2, IR-4, RA-5, SA-11, SI-11. ",HIGH,The organization centrally manages the flaw remediation process and installs software updates automatically. ,"Due to information system integrity and availability concerns, organizations give careful consideration to the methodology used to carry out automatic updates. ",MODERATE_HIGH,The organization employs automated mechanisms [ Assignment: organization-defined frequency ] to determine the state of information system components with regard to flaw remediation. ,,NONE,"The organization measures the time between flaw identification and flaw remediation, comparing with [ Assignment: organization-defined benchmarks ]. ",,NONE,The organization employs automated patch management tools to facilitate flaw remediation to [ Assignment: organization-defined information system components ]. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,System and Information Integrity,SI-3,,Malicious Code Protection,LOW_MODERATE_HIGH,P1,"The organization: Employs malicious code protection mechanisms at information system entry and exit points and at workstations, servers, or mobile computing devices on the network to detect and eradicate malicious code: - Transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means; or - Inserted through the exploitation of information system vulnerabilities; Updates malicious code protection mechanisms (including signature definitions) whenever new releases are available in accordance with organizational configuration management policy and procedures; Configures malicious code protection mechanisms to: - Perform periodic scans of the information system [ Assignment: organization-defined frequency ] and real-time scans of files from external sources as the files are downloaded, opened, or executed in accordance with organizational security policy; and - [ Selection (one or more): block malicious code; quarantine malicious code; send alert to administrator; [ Assignment: organization-defined action ]] in response to malicious code detection; and Addresses the receipt of false positives during malicious code detection and eradication and the resulting potential impact on the availability of the information system. ","Information system entry and exit points include, for example, firewalls, electronic mail servers, web servers, proxy servers, and remote-access servers. Malicious code includes, for example, viruses, worms, Trojan horses, and spyware. Malicious code can also be encoded in various formats (e.g., UUENCODE, Unicode) or contained within a compressed file. Removable media includes, for example, USB devices, diskettes, or compact disks. A variety of technologies and methods exist to limit or eliminate the effects of malicious code attacks. Pervasive configuration management and strong software integrity controls may be effective in preventing execution of unauthorized code. In addition to commercial off-the-shelf software, malicious code may also be present in custom-built software. This could include, for example, logic bombs, back doors, and other types of cyber attacks that could affect organizational missions and business functions. Traditional malicious code protection mechanisms are not built to detect such code. In these situations, organizations must rely instead on other risk mitigation measures to include, for example, secure coding practices, trusted procurement processes, configuration management and control, and monitoring practices to help ensure that software does not perform functions other than those intended. Related controls: SA-4, SA-8, SA-12, SA-13, SI-4, SI-7. ",MODERATE_HIGH,The organization centrally manages malicious code protection mechanisms. ,,MODERATE_HIGH,The information system automatically updates malicious code protection mechanisms (including signature definitions). ,,MODERATE_HIGH,The information system prevents non-privileged users from circumventing malicious code protection capabilities. ,,NONE,The information system updates malicious code protection mechanisms only when directed by a privileged user. ,,NONE,The organization does not allow users to introduce removable media into the information system. ,,NONE,"The organization tests malicious code protection mechanisms [ Assignment: organization-defined frequency ] by introducing a known benign, non-spreading test case into the information system and subsequently verifying that both detection of the test case and associated incident reporting occur, as required. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,System and Information Integrity,SI-4,,Information System Monitoring,MODERATE_HIGH,P1,"The organization: Monitors events on the information system in accordance with [ Assignment: organization-defined monitoring objectives ] and detects information system attacks; Identifies unauthorized use of the information system; Deploys monitoring devices: (i) strategically within the information system to collect organization-determined essential information; and (ii) at ad hoc locations within the system to track specific types of transactions of interest to the organization; Heightens the level of information system monitoring activity whenever there is an indication of increased risk to organizational operations and assets, individuals, other organizations, or the Nation based on law enforcement information, intelligence information, or other credible sources of information; and Obtains legal opinion with regard to information system monitoring activities in accordance with applicable federal laws, Executive Orders, directives, policies, or regulations. ","Information system monitoring includes external and internal monitoring. External monitoring includes the observation of events occurring at the system boundary (i.e., part of perimeter defense and boundary protection). Internal monitoring includes the observation of events occurring within the system (e.g., within internal organizational networks and system components). Information system monitoring capability is achieved through a variety of tools and techniques (e.g., intrusion detection systems, intrusion prevention systems, malicious code protection software, audit record monitoring software, network monitoring software). Strategic locations for monitoring devices include, for example, at selected perimeter locations and near server farms supporting critical applications, with such devices typically being employed at the managed interfaces associated with controls SC-7 and AC-17. The Einstein network monitoring device from the Department of Homeland Security is an example of a system monitoring device. The granularity of the information collected is determined by the organization based on its monitoring objectives and the capability of the information system to support such activities. An example of a specific type of transaction of interest to the organization with regard to monitoring is Hyper Text Transfer Protocol (HTTP) traffic that bypasses organizational HTTP proxies, when use of such proxies is required. Related controls: AC-4, AC-8, AC-17, AU-2, AU-6, SI-3, SI-7. ",NONE,The organization interconnects and configures individual intrusion detection tools into a systemwide intrusion detection system using common protocols. ,,MODERATE_HIGH,The organization employs automated tools to support near real-time analysis of events. ,,NONE,The organization employs automated tools to integrate intrusion detection tools into access control and flow control mechanisms for rapid response to attacks by enabling reconfiguration of these mechanisms in support of attack isolation and elimination. ,,MODERATE_HIGH,The information system monitors inbound and outbound communications for unusual or unauthorized activities or conditions. ,"Unusual/unauthorized activities or conditions include, for example, internal traffic that indicates the presence of malicious code within an information system or propagating among system components, the unauthorized export of information, or signaling to an external information system. Evidence of malicious code is used to identify potentially compromised information systems or information system components. ",MODERATE_HIGH,The information system provides near real-time alerts when the following indications of compromise or potential compromise occur: [ Assignment: organization-defined list of compromise indicators ]. ,"Alerts may be generated, depending on the organization-defined list of indicators, from a variety of sources, for example, audit records or input from malicious code protection mechanisms, intrusion detection or prevention mechanisms, or boundary protection devices such as firewalls, gateways, and routers. ",MODERATE_HIGH,The information system prevents non-privileged users from circumventing intrusion detection and prevention capabilities. ,,NONE,The information system notifies [ Assignment: organization-defined list of incident response personnel (identified by name and/or by role) ] of suspicious events and takes [ Assignment: organization-defined list of least-disruptive actions to terminate suspicious events ]. ,The least-disruptive actions may include initiating a request for human response. ,NONE,"The organization protects information obtained from intrusion-monitoring tools from unauthorized access, modification, and deletion. ",,NONE,The organization tests/exercises intrusion-monitoring tools [ Assignment: organization-defined time-period ]. ,The frequency of testing/exercises is dependent upon the type and method of deployment of the intrusion-monitoring tools. ,NONE,The organization makes provisions so that encrypted traffic is visible to information system monitoring tools. ,"The enhancement recognizes the need to balance encrypting traffic versus the need to have insight into that traffic from a monitoring perspective. For some organizations, the need to ensure the confidentiality of traffic is paramount; for others, the mission-assurance concerns are greater. ",NONE,"The organization analyzes outbound communications traffic at the external boundary of the system (i.e., system perimeter) and, as deemed necessary, at selected interior points within the system (e.g., subnets, subsystems) to discover anomalies. ","Anomalies within the information system include, for example, large file transfers, long-time persistent connections, unusual protocols and ports in use, and attempted communications with suspected malicious external addresses. ",NONE,The organization employs automated mechanisms to alert security personnel of the following inappropriate or unusual activities with security implications: [ Assignment: organization-defined list of inappropriate or unusual activities that trigger alerts ]. ,,NONE,The organization: Analyzes communications traffic/event patterns for the information system; Develops profiles representing common traffic patterns and/or events; and Uses the traffic/event profiles in tuning system-monitoring devices to reduce the number of false positives to [ Assignment: organization-defined measure of false positives ] and the number of false negatives to [ Assignment: organization-defined measure of false negatives ]. ,,NONE,The organization employs a wireless intrusion detection system to identify rogue wireless devices and to detect attack attempts and potential compromises/breaches to the information system. ,,NONE,The organization employs an intrusion detection system to monitor wireless communications traffic as the traffic passes from wireless to wireline networks. ,,NONE,The organization correlates information from monitoring tools employed throughout the information system to achieve organization-wide situational awareness. ,,NONE,"The organization correlates results from monitoring physical, cyber, and supply chain activities to achieve integrated situational awareness. ",Integrated situational awareness enhances the capability of the organization to more quickly detect sophisticated attacks and investigate the methods and techniques employed to carry out the attacks. ,,,
Operational,System and Information Integrity,SI-5,,"Security Alerts, Advisories, and Directives",LOW_MODERATE_HIGH,P1,"The organization: Receives information system security alerts, advisories, and directives from designated external organizations on an ongoing basis; Generates internal security alerts, advisories, and directives as deemed necessary; Disseminates security alerts, advisories, and directives to [ Assignment: organization-defined list of personnel (identified by name and/or by role) ]; and Implements security directives in accordance with established time frames, or notifies the issuing organization of the degree of noncompliance. ","Security alerts and advisories are generated by the United States Computer Emergency Readiness Team (US-CERT) to maintain situational awareness across the federal government. Security directives are issued by OMB or other designated organizations with the responsibility and authority to issue such directives. Compliance to security directives is essential due to the critical nature of many of these directives and the potential immediate adverse affects on organizational operations and assets, individuals, other organizations, and the Nation should the directives not be implemented in a timely manner. ",HIGH,The organization employs automated mechanisms to make security alert and advisory information available throughout the organization as needed. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
